"Employee Name","Certificate link","Certificate type","Certificate start date","Certificate expiry date",Asset,"Training gap score"
Harry,https://dev.matrics.agile451.net/system/files/1/Matrix_workflow_6.pdf,MIST,2022-03-01,2022-10-03,"Stena Icemax",11
ryan,https://dev.matrics.agile451.net/system/files/1/Matrix_workflow_5.pdf,"OGUK medical",2022-03-17,2022-09-16,"Stena Icemax",8
Oliver,https://dev.matrics.agile451.net/system/files/1/Accreditation_certificate_template%20%281%29.pdf,"OPITO BOSIET",2022-03-10,2022-05-07,"Stena Icemax",0
George,,,,,"Stena Icemax",0
Arthur,,,,,"Stena Icemax",0
Noah,,,,,"Stena Icemax",0
Archie,https://dev.matrics.agile451.net/system/files/1/Certificate%20of%20Attendance%20%281%29.pdf,"IWCF Drilling and Well Control Level 3/4",2022-02-01,2022-10-04,"Stena Icemax",8
Jack,,,,,"Stena Icemax",0
Henry,,,,,"Stena Icemax",0
Freddie,https://dev.matrics.agile451.net/system/files/1/Certificate%20of%20Attendance%20%281%29_0.pdf,"Fit to train",2022-04-01,2023-01-31,"Stena Icemax",33
Theodore,,,,,"Stena Icemax",0
Thomas,,,,,"Stena Icemax",0
Tommy,,,,,"Stena Icemax",0
Scheduler,,,,,"Stena Icemax",0
Cooper,https://dev.matrics.agile451.net/system/files/1/Matrix_workflow.pdf,"H2S awareness",2022-03-01,2022-04-09,"Stena Horizon",0
ronny,https://dev.matrics.agile451.net/system/files/1/Matrix_workflow_3.pdf,"H2S awareness",2022-02-08,2022-03-01,"Stena Horizon",0
Leo,,,,,"Stena Horizon",0
Joshua,https://dev.matrics.agile451.net/system/files/1/Accreditation_certificate_template%20%281%29_1.pdf,"OGUK medical",2022-04-01,2022-10-31,"Stena Horizon",100
David,https://dev.matrics.agile451.net/system/files/1/Matrix_workflow_4.pdf,"OPITO BOSIET",2022-03-10,2023-05-07,"Stena Impression",7
